n;fib;method;measure;value
0;0;recursive;time;0
0;0;recursive;oper;1
1;1;recursive;time;0
1;1;recursive;oper;1
2;1;recursive;time;0
2;1;recursive;oper;3
3;2;recursive;time;0
3;2;recursive;oper;5
4;3;recursive;time;0
4;3;recursive;oper;9
5;5;recursive;time;0
5;5;recursive;oper;15
6;8;recursive;time;0
6;8;recursive;oper;25
7;13;recursive;time;1
7;13;recursive;oper;41
8;21;recursive;time;2
8;21;recursive;oper;67
9;34;recursive;time;3
9;34;recursive;oper;109
10;55;recursive;time;5
10;55;recursive;oper;177
11;89;recursive;time;8
11;89;recursive;oper;287
12;144;recursive;time;13
12;144;recursive;oper;465
13;233;recursive;time;22
13;233;recursive;oper;753
14;377;recursive;time;36
14;377;recursive;oper;1219
15;610;recursive;time;58
15;610;recursive;oper;1973
16;987;recursive;time;94
16;987;recursive;oper;3193
17;1597;recursive;time;153
17;1597;recursive;oper;5167
18;2584;recursive;time;251
18;2584;recursive;oper;8361
19;4181;recursive;time;495
19;4181;recursive;oper;13529
20;6765;recursive;time;1049
20;6765;recursive;oper;21891
21;10946;recursive;time;1255
21;10946;recursive;oper;35421
22;17711;recursive;time;1920
22;17711;recursive;oper;57313
23;28657;recursive;time;2869
23;28657;recursive;oper;92735
24;46368;recursive;time;4622
24;46368;recursive;oper;150049
25;75025;recursive;time;8728
25;75025;recursive;oper;242785
26;121393;recursive;time;11925
26;121393;recursive;oper;392835
27;196418;recursive;time;18890
27;196418;recursive;oper;635621
28;317811;recursive;time;30718
28;317811;recursive;oper;1028457
29;514229;recursive;time;49398
29;514229;recursive;oper;1664079
30;832040;recursive;time;80577
30;832040;recursive;oper;2692537
31;1346269;recursive;time;130860
31;1346269;recursive;oper;4356617
32;2178309;recursive;time;211407
32;2178309;recursive;oper;7049155
33;3524578;recursive;time;343012
33;3524578;recursive;oper;11405773
34;5702887;recursive;time;711435
34;5702887;recursive;oper;18454929
35;9227465;recursive;time;994023
35;9227465;recursive;oper;29860703
36;14930352;recursive;time;2006411
36;14930352;recursive;oper;48315633
37;24157817;recursive;time;3266764
37;24157817;recursive;oper;78176337
38;39088169;recursive;time;4789505
38;39088169;recursive;oper;126491971
39;63245986;recursive;time;7970272
39;63245986;recursive;oper;204668309
40;102334155;recursive;time;12627779
40;102334155;recursive;oper;331160281
41;165580141;recursive;time;19239167
41;165580141;recursive;oper;535828591
42;267914296;recursive;time;30541707
42;267914296;recursive;oper;866988873
43;433494437;recursive;time;50934407
43;433494437;recursive;oper;1402817465
44;701408733;recursive;time;75251331
44;701408733;recursive;oper;2269806339
0;0;iterative;time;0
0;0;iterative;oper;1
1;1;iterative;time;0
1;1;iterative;oper;1
2;1;iterative;time;0
2;1;iterative;oper;3
3;2;iterative;time;0
3;2;iterative;oper;4
4;3;iterative;time;0
4;3;iterative;oper;5
5;5;iterative;time;0
5;5;iterative;oper;6
6;8;iterative;time;0
6;8;iterative;oper;7
7;13;iterative;time;0
7;13;iterative;oper;8
8;21;iterative;time;0
8;21;iterative;oper;9
9;34;iterative;time;0
9;34;iterative;oper;10
10;55;iterative;time;0
10;55;iterative;oper;11
11;89;iterative;time;0
11;89;iterative;oper;12
12;144;iterative;time;0
12;144;iterative;oper;13
13;233;iterative;time;0
13;233;iterative;oper;14
14;377;iterative;time;0
14;377;iterative;oper;15
15;610;iterative;time;0
15;610;iterative;oper;16
16;987;iterative;time;0
16;987;iterative;oper;17
17;1597;iterative;time;0
17;1597;iterative;oper;18
18;2584;iterative;time;0
18;2584;iterative;oper;19
19;4181;iterative;time;0
19;4181;iterative;oper;20
20;6765;iterative;time;0
20;6765;iterative;oper;21
21;10946;iterative;time;0
21;10946;iterative;oper;22
22;17711;iterative;time;0
22;17711;iterative;oper;23
23;28657;iterative;time;0
23;28657;iterative;oper;24
24;46368;iterative;time;0
24;46368;iterative;oper;25
25;75025;iterative;time;0
25;75025;iterative;oper;26
26;121393;iterative;time;0
26;121393;iterative;oper;27
27;196418;iterative;time;0
27;196418;iterative;oper;28
28;317811;iterative;time;0
28;317811;iterative;oper;29
29;514229;iterative;time;0
29;514229;iterative;oper;30
30;832040;iterative;time;0
30;832040;iterative;oper;31
31;1346269;iterative;time;0
31;1346269;iterative;oper;32
32;2178309;iterative;time;0
32;2178309;iterative;oper;33
33;3524578;iterative;time;0
33;3524578;iterative;oper;34
34;5702887;iterative;time;0
34;5702887;iterative;oper;35
35;9227465;iterative;time;0
35;9227465;iterative;oper;36
36;14930352;iterative;time;0
36;14930352;iterative;oper;37
37;24157817;iterative;time;0
37;24157817;iterative;oper;38
38;39088169;iterative;time;0
38;39088169;iterative;oper;39
39;63245986;iterative;time;0
39;63245986;iterative;oper;40
40;102334155;iterative;time;0
40;102334155;iterative;oper;41
41;165580141;iterative;time;0
41;165580141;iterative;oper;42
42;267914296;iterative;time;0
42;267914296;iterative;oper;43
43;433494437;iterative;time;0
43;433494437;iterative;oper;44
44;701408733;iterative;time;0
44;701408733;iterative;oper;45
0;0;binet;time;0
0;0;binet;oper;1
1;1;binet;time;0
1;1;binet;oper;1
2;1;binet;time;0
2;1;binet;oper;1
3;2;binet;time;0
3;2;binet;oper;1
4;3;binet;time;0
4;3;binet;oper;1
5;5;binet;time;0
5;5;binet;oper;1
6;8;binet;time;0
6;8;binet;oper;1
7;13;binet;time;0
7;13;binet;oper;1
8;21;binet;time;0
8;21;binet;oper;1
9;34;binet;time;0
9;34;binet;oper;1
10;55;binet;time;0
10;55;binet;oper;1
11;89;binet;time;0
11;89;binet;oper;1
12;144;binet;time;0
12;144;binet;oper;1
13;233;binet;time;0
13;233;binet;oper;1
14;377;binet;time;0
14;377;binet;oper;1
15;610;binet;time;0
15;610;binet;oper;1
16;987;binet;time;0
16;987;binet;oper;1
17;1597;binet;time;0
17;1597;binet;oper;1
18;2584;binet;time;0
18;2584;binet;oper;1
19;4181;binet;time;0
19;4181;binet;oper;1
20;6765;binet;time;0
20;6765;binet;oper;1
21;10946;binet;time;0
21;10946;binet;oper;1
22;17711;binet;time;0
22;17711;binet;oper;1
23;28657;binet;time;0
23;28657;binet;oper;1
24;46368;binet;time;0
24;46368;binet;oper;1
25;75025;binet;time;0
25;75025;binet;oper;1
26;121393;binet;time;0
26;121393;binet;oper;1
27;196418;binet;time;0
27;196418;binet;oper;1
28;317811;binet;time;0
28;317811;binet;oper;1
29;514229;binet;time;0
29;514229;binet;oper;1
30;832040;binet;time;0
30;832040;binet;oper;1
31;1346269;binet;time;0
31;1346269;binet;oper;1
32;2178309;binet;time;0
32;2178309;binet;oper;1
33;3524578;binet;time;0
33;3524578;binet;oper;1
34;5702887;binet;time;0
34;5702887;binet;oper;1
35;9227465;binet;time;0
35;9227465;binet;oper;1
36;14930352;binet;time;0
36;14930352;binet;oper;1
37;24157817;binet;time;0
37;24157817;binet;oper;1
38;39088169;binet;time;0
38;39088169;binet;oper;1
39;63245986;binet;time;0
39;63245986;binet;oper;1
40;102334155;binet;time;0
40;102334155;binet;oper;1
41;165580141;binet;time;0
41;165580141;binet;oper;1
42;267914296;binet;time;0
42;267914296;binet;oper;1
